country,city,year,month,day,value
40,1101,2022,3,30,254.0
84,543,2022,4,19,1.0
40,914,2022,5,15,129.02
40,1326,2022,4,7,123.68
40,821,2022,4,14,115.9
84,197,2022,5,13,4.3
40,45,2022,5,26,59.3
29,1661,2022,5,5,10.0
67,1336,2022,5,9,111.0
40,1353,2022,4,19,56.0
84,1502,2022,4,2,500.0
40,1192,2022,4,27,356.9
40,372,2022,4,16,212.0
69,563,2022,5,12,4.2
40,696,2022,5,26,80.0
84,585,2018,6,29,152.0
29,1191,2022,5,12,4.0
40,1429,2022,4,7,165.0
67,947,2022,4,7,408.0
40,1326,2018,2,22,203.0
40,705,2022,5,25,500.0
40,661,2022,5,9,83.17
40,914,2022,5,1,104.91
40,868,2022,3,30,104.0
43,57,2022,5,24,500.0
15,653,2022,4,9,500.0
88,408,2022,5,25,58.773
15,1989,2020,12,31,89.0
14,123,2022,5,2,53.0
40,1084,2022,4,16,201.4
28,371,2022,5,5,9.9
40,1624,2022,4,13,305.0
40,1399,2022,5,17,426.65
40,509,2022,4,26,173.34
84,807,2022,5,3,7.0
79,1777,2022,4,11,150.0
40,705,2022,5,21,500.0
40,1466,2022,4,29,200.5
40,1151,2022,4,9,317.0
67,862,2022,4,2,93.0
14,1568,2022,5,12,66.0
40,1192,2022,4,4,92.6
40,914,2022,4,2,128.46
40,868,2020,6,11,71.0
40,207,2022,3,30,116.1
34,1717,2022,5,21,8.1
79,878,2022,5,2,14.0
40,161,2022,4,30,212.1
63,1766,2022,4,18,3.554907
40,696,2022,4,8,240.0
40,372,2022,4,21,361.8
79,1709,2022,4,8,95.0
43,1753,2022,5,7,4.0
40,1624,2022,4,5,179.0
68,624,2022,5,15,3.99203
40,0,2020,6,11,85.0
40,705,2022,5,24,500.0
40,696,2022,4,19,430.0
40,1101,2022,4,8,285.0
29,1002,2022,4,26,9.0
40,1834,2022,4,14,69.54
40,1466,2022,4,9,213.27
40,207,2022,4,21,334.7
84,1124,2022,4,27,51.0
4,1657,2022,3,31,1.83
40,1084,2022,4,16,201.4
43,57,2022,5,24,500.0
84,228,2022,5,9,4.0
40,160,2022,4,9,415.0
40,1466,2022,3,30,189.73
84,1654,2022,4,28,4.0
40,1226,2022,4,2,118.0
40,393,2022,4,3,477.4
84,1699,2022,5,5,2.5
40,245,2022,5,14,366.28
40,186,2022,5,23,155.0
40,161,2022,5,16,108.8
84,1707,2022,4,12,5.0
40,665,2022,4,25,68.0
47,916,2022,4,10,383.0
16,230,2022,1,15,500.0
40,848,2022,5,2,500.0
40,1084,2022,4,16,201.4
40,759,2018,2,22,53.0
40,161,2022,4,7,221.99
74,877,2022,4,23,224.0
84,1770,2022,4,9,4.6
40,893,2022,5,22,44.76
40,1147,2022,3,30,120.0
40,1146,2022,5,7,500.0
84,1447,2022,5,23,2.0
14,1749,2022,3,30,20.0
40,848,2022,4,29,377.63
84,1844,2022,5,19,9.8
14,1546,2022,5,20,52.0
40,1624,2022,4,17,155.0
40,564,2022,5,5,63.9
68,1718,2022,5,1,50.4344
40,562,2022,4,18,128.5
84,1858,2022,5,11,47.5
40,661,2022,4,27,315.03
14,441,2022,5,19,379.0
84,1447,2022,4,14,6.0
40,1780,2021,7,22,500.0
40,385,2022,5,25,42.0
40,210,2021,7,19,500.0
40,1781,2022,5,11,78.0
40,1428,2022,4,22,9.0
25,963,2020,6,4,500.0
40,614,2022,4,27,257.0
68,1615,2017,1,8,214.1
40,864,2022,5,19,75.77
40,1624,2022,3,30,216.0
84,460,2022,5,23,1.3
40,1624,2022,4,30,287.0
4,1648,2022,4,25,2.7
29,1369,2022,4,24,16.0
68,1424,2022,4,6,13.9867
40,1015,2018,2,22,190.61
19,1673,2022,5,15,12.0
40,876,2022,4,17,114.13
84,1534,2022,5,11,2.0
81,103,2022,5,3,10.0
84,1384,2022,4,27,2.0
40,593,2022,5,19,500.0
14,1568,2022,5,18,78.0
40,1015,2022,4,18,53.0
40,379,2022,5,12,259.0
40,86,2022,5,18,114.09
40,201,2022,5,17,118.0
40,892,2022,5,4,500.0
84,293,2022,5,1,4.0
27,1352,2022,4,30,2.0220635
40,482,2022,4,3,500.0
40,208,2022,5,10,65.0
60,1912,2021,4,14,207.95
28,371,2022,5,21,10.9
78,1157,2022,5,22,258.0
40,161,2022,4,27,244.7
40,614,2022,4,13,238.0
40,705,2022,5,21,500.0
40,1780,2021,7,25,500.0
43,1334,2022,5,26,27.8
84,1502,2022,5,2,500.0
40,899,2022,4,24,70.8
40,1088,2022,4,4,500.0
86,730,2022,4,28,500.0
40,899,2022,5,14,75.8
40,696,2022,4,15,122.0
14,428,2022,5,12,26.0
43,57,2022,5,24,500.0
40,1381,2022,4,27,57.8
15,2052,2020,12,31,35.0
40,164,2022,4,9,500.0
40,206,2022,4,8,212.03
40,848,2022,4,29,377.63
40,372,2022,3,30,376.6
40,661,2022,5,5,423.63
63,619,2022,5,20,462.044356
40,1778,2022,4,13,135.9
40,1226,2022,4,5,226.0
40,593,2022,5,4,500.0
40,808,2022,5,15,163.88
40,564,2022,5,6,95.6
40,562,2022,4,13,214.0
40,1432,2022,4,12,8.0
0,503,2022,5,3,500.0
79,1790,2022,4,9,89.0
40,562,2018,2,22,232.0
40,213,2022,4,6,156.0
40,696,2022,4,13,206.0
40,1147,2022,4,24,120.0
15,653,2022,4,9,500.0
63,619,2022,5,22,500.0
84,1704,2022,4,5,21.1
63,619,2022,5,20,462.044356
40,893,2016,11,9,279.1
40,614,2022,5,25,110.0
14,961,2022,5,17,51.0
40,213,2022,4,17,110.0
40,705,2022,5,23,500.0
40,893,2016,11,9,279.1
79,1581,2022,5,8,13.0
40,899,2022,4,19,58.9
40,1088,2022,4,1,500.0
67,947,2022,5,11,134.0
84,565,2022,5,6,6.0
40,1466,2022,4,13,204.06
29,257,2022,5,2,12.0
86,730,2022,4,28,500.0
40,1399,2021,12,9,468.99
40,848,2022,4,22,500.0
40,206,2022,5,21,231.73
40,696,2022,4,9,239.0
40,1131,2022,4,16,64.2
15,653,2022,4,10,500.0
40,206,2022,5,11,94.36
40,206,2022,5,17,243.65
40,49,2022,4,14,131.3
40,161,2022,3,30,242.37
40,596,2022,5,17,264.5
14,329,2022,5,19,22.0
40,661,2022,4,28,293.1
40,161,2022,4,8,209.83
40,1151,2022,4,10,262.0
68,283,2022,5,13,1.5
84,465,2022,5,2,1.3
40,1631,2022,4,8,68.48
40,1326,2022,3,30,111.3
84,1052,2022,5,21,3.8
40,1151,2022,4,28,280.0
15,653,2022,5,23,26.0
67,947,2022,4,6,500.0
84,553,2022,5,5,4.0
15,1967,2020,12,31,67.0
40,892,2022,5,4,500.0
40,1466,2022,4,18,210.29
84,494,2022,5,5,2.5
84,470,2018,6,19,0.6
0,35,2022,5,25,190.0
79,1529,2022,4,9,51.0
40,1619,2022,5,6,16.59
40,808,2022,5,21,107.5
40,859,2022,4,13,118.0
40,372,2022,4,17,233.0
40,893,2016,11,9,279.1
40,1466,2022,5,5,117.01
75,1836,2022,3,31,2.514
40,892,2022,5,25,500.0
40,564,2022,4,21,500.0
84,1354,2022,4,25,18.4
40,86,2022,5,16,68.51
40,868,2022,4,5,107.0
40,1624,2022,4,29,309.0
40,206,2022,4,14,228.9
4,1623,2022,5,13,3.8
84,183,2022,5,13,2.0
25,963,2022,4,20,16.0
40,876,2022,4,17,114.13
88,1087,2022,5,3,86.768
40,369,2022,4,7,56.0
40,161,2022,4,30,212.1
40,393,2022,4,3,477.4
28,1586,2022,1,1,6.6
84,566,2022,4,4,95.2
40,1624,2022,5,7,119.0
74,877,2022,5,18,293.0
67,1336,2022,3,30,238.0
40,49,2022,4,14,131.3
40,821,2022,4,21,109.2
75,1667,2020,10,22,500.0
63,1765,2022,4,25,338.2
68,921,2022,4,4,82.7441
40,892,2022,5,24,500.0
40,274,2022,4,19,240.0
68,663,2022,4,9,13.1
67,947,2022,4,27,474.0
40,1192,2022,4,29,55.5
40,493,2022,5,18,84.98
12,1737,2022,5,21,20.0933
67,1336,2022,3,30,238.0
40,372,2022,4,21,361.8
29,972,2022,4,25,8.0
40,1427,2022,4,20,500.0
40,1466,2022,4,18,210.29
36,567,2022,3,31,53.18239
40,914,2022,5,16,99.78
34,1525,2022,4,11,9.7
74,877,2022,4,23,224.0
40,379,2018,2,22,111.73
40,1780,2021,7,14,500.0
47,916,2022,4,8,137.0
40,696,2022,4,18,222.0
40,204,2022,4,3,166.0
40,696,2022,4,10,500.0
14,123,2022,4,27,56.0
84,401,2022,5,13,2.7
40,1523,2022,4,8,50.78
40,1579,2022,4,7,103.0
40,562,2022,5,5,222.8
40,206,2022,5,20,208.66
40,696,2022,5,26,80.0
84,1853,2022,5,18,3.9
40,206,2022,3,30,204.72
40,821,2022,4,26,96.0
40,564,2022,4,29,114.6
40,160,2022,5,6,158.0
40,823,2022,4,14,261.84
84,135,2022,5,18,6.0
14,1273,2022,5,17,250.0
40,160,2022,3,30,361.0
47,916,2022,5,17,417.0
40,1896,2022,5,20,151.2
20,1216,2022,5,3,2.33337
40,1466,2022,4,13,204.06
40,1317,2022,5,22,92.3
40,593,2022,5,19,500.0
40,161,2022,4,7,221.99
40,1781,2022,5,18,72.0
80,511,2022,4,13,117.0
40,716,2022,5,14,28.93
84,1559,2019,4,19,10.0
40,493,2022,4,16,209.39
0,503,2022,5,7,313.0
40,1015,2022,4,28,125.57
40,705,2022,5,22,500.0
40,213,2022,4,3,201.0
63,619,2022,5,22,500.0
40,161,2022,4,27,244.7
84,737,2022,5,16,6.3
0,503,2022,5,3,500.0
68,283,2022,4,18,1.0
40,696,2022,4,8,240.0
40,1101,2022,4,10,239.0
40,848,2022,4,22,500.0
40,1781,2022,5,20,56.0
74,877,2022,5,16,500.0
40,161,2022,4,26,150.8
40,1466,2022,5,6,275.97
40,664,2022,4,22,52.5
40,160,2022,3,30,361.0
40,1192,2022,4,14,264.0
77,1761,2022,5,9,13.791
0,503,2022,5,7,313.0
40,1315,2022,4,14,64.09
79,169,2022,5,26,11.0
40,1084,2022,4,5,163.3
84,239,2022,4,29,3.1
38,991,2022,5,20,5.43
40,1781,2022,5,18,72.0
40,1101,2022,4,24,500.0
40,77,2022,4,9,103.43
40,1016,2022,4,19,110.04
47,916,2022,4,24,494.0
68,1615,2022,5,7,36.1
40,859,2022,5,24,31.26
40,160,2022,4,6,297.0
40,614,2022,5,5,315.0
40,206,2022,5,21,231.73
34,735,2022,5,2,4.5
40,1088,2022,4,4,500.0
